name
綾部市
宇治市
乙訓郡大山崎町
亀岡市
京都市北区
京都市上京区
京都市左京区
京都市中京区
京都市東山区
京都市下京区
京都市南区
京都市右京区
京都市伏見区
京都市山科区
京都市西京区
京田辺市
京丹後市
木津川市
城陽市
相楽郡和束町
相楽郡精華町
相楽郡南山城村
綴喜郡宇治田原町
長岡京市
福知山市
宮津市
向日市
八幡市
与謝郡伊根町
